Feature,Count,Mean,Variance
 under blade center steak,12,198.0,662.0
 top round steak,13,147.0,686.0
 under blade pot roast or steak,5,174.0,686.0
  seam fat,3,594.0,704.0
 bottom sirloin,10,171.0,708.0
 shoulder clod,18,172.0,720.0
 trimmed to 1/4" fat,7,169.0,744.0
 under blade steak,6,246.0,796.0
 ribeye steak/roast lip-on,2,188.0,812.0
 kidneys,2,128.0,870.0
 hind shin,4,156.0,891.0
 eye of round,12,166.0,911.0
 tip round,18,173.0,949.0
 shoulder top blade steak,12,171.0,973.0
 whole (ribs 6-12),12,342.0,974.0
 chuck for stew,6,158.0,1000.0
 heart,4,140.0,1038.0
 tenderloin steak,12,174.0,1046.0
 composite of trimmed retail cuts,14,255.0,1061.0
 flank,18,179.0,1122.0
 fast roasted,5,228.0,1133.0
 mock tender steak,18,162.0,1146.0
 70% lean meat / 30% fat,5,270.0,1161.0
 bottom round,34,192.0,1162.0
 ribeye cap steak,6,211.0,1175.0
 inside skirt,12,206.0,1177.0
 kidney,2,122.0,1225.0
 top round,23,196.0,1256.0
 America's Beef Roast,12,183.0,1260.0
 chuck eye roast,12,183.0,1260.0
 outside skirt,12,251.0,1295.0
 round,160,169.0,1317.0
 shank crosscuts,2,164.0,1332.0
 bolar blade,4,177.0,1371.0
 rib eye roast,12,259.0,1405.0
 baked,8,212.0,1407.0
 loaf,8,212.0,1407.0
 under blade pot roast,6,258.0,1425.0
 fast fried,7,211.0,1473.0
 pan-browned,8,232.0,1483.0
 crumbles,8,232.0,1483.0
 flat,4,202.0,1501.0
 top sirloin cap steak,12,186.0,1559.0
 pan-broiled,8,205.0,1569.0
 top loin steak,25,188.0,1583.0
 separable lean only,373,178.0,1591.0
 tenderloin steak/roast,6,195.0,1649.0
 lip off,24,197.0,1697.0
 grilled,139,216.0,1710.0
 thymus,2,277.0,1722.0
 bottom sirloin butt,2,223.0,1722.0
 plate steak,24,229.0,1758.0
 steak,105,192.0,1790.0
 porterhouse steak,18,223.0,1823.0
 canned,2,207.0,1849.0
 top sirloin,19,197.0,1914.0
 chuck eye roll,4,193.0,1923.0
 t-bone steak,17,219.0,1928.0
 rib eye,3,210.0,1938.0
 cube roll,4,227.0,1995.0
 USDA select,3,218.0,2008.0
 eye,5,217.0,2011.0
 rib eye steak/roast,12,204.0,2037.0
 back ribs,12,303.0,2057.0
 brisket point end,4,185.0,2149.0
 patty,15,213.0,2150.0
 chuck eye steak,11,214.0,2156.0
 blade roast,7,287.0,2209.0
 short loin,45,218.0,2281.0
 loin,88,187.0,2346.0
 short ribs,12,235.0,2350.0
 rib eye steak,24,234.0,2409.0
 pan-fried,5,235.0,2442.0
 point half,4,304.0,2515.0
 top loin,13,225.0,2539.0
 ground,43,218.0,2555.0
 trimmed to 0" fat,450,192.0,2570.0
 boneless,348,190.0,2574.0
 lip-on,48,229.0,2603.0
 large end (ribs 6-9),17,330.0,2654.0
 USDA choice,3,234.0,2768.0
 chuck,115,206.0,2783.0
 select,237,194.0,2856.0
 roast,45,185.0,2892.0
 chuck eye Country-Style ribs,12,217.0,2915.0
  external fat,3,581.0,2924.0
 striploin,4,230.0,3023.0
 broiled,102,230.0,3045.0
 flat half,24,200.0,3213.0
 braised,121,245.0,3224.0
 all grades,249,205.0,3266.0
 simmered,6,175.0,3346.0
 arm pot roast,16,229.0,3434.0
 whole,5,249.0,3657.0
 small end rib steak/roast,4,321.0,3680.0
 bone-in,36,254.0,3768.0
 choice,250,213.0,3774.0
 tenderloin,22,235.0,4049.0
 prime,18,326.0,4105.0
 cooked,542,230.0,4246.0
 brisket,35,220.0,4251.0
 trimmed to 1/8" fat,288,230.0,4367.0
 separable lean and fat,458,230.0,4424.0
 roasted,107,223.0,4583.0
 small end (ribs 10-12),31,250.0,4928.0
 boiled,7,186.0,5331.0
 rib,80,295.0,5334.0
 top loin steak/roast,6,260.0,7505.0
 smoked,2,222.0,8010.0
 raw,396,188.0,8723.0
 brisket naval end,4,314.0,9270.0
 cured,11,235.0,11504.0
 shortribs,4,331.0,12276.0
 New Zealand,74,212.0,14845.0
 imported,74,212.0,14845.0
 grass-fed,16,204.0,16948.0
 Aust. marble score 9,8,401.0,21007.0
 variety meats and by-products,24,202.0,22865.0
 Wagyu,16,366.0,24077.0
 Aust. marble score 4/5,8,331.0,24706.0
 Australian,30,293.0,27582.0
