bbq sauce,BBQ Sauce,Diana Sauce
aunt jemimas ciniman toast,Cinnamon French Toast,Aunt Jemima
pillsbury cinnamon roll,Cinnamon Rolls,Pillsbury
lays chips,Classic Chips,Lays
lays regular chips,Classic Chips,Lays
nescafe instant coffee,Classic Instant Coffee,Nescafe
swiss cheese roast beef,Classic Roast Beef w/ Swiss Sandwich,Beef-A-Roo
clementine,clementine,Sainsbury's
coco puff cereal,Cocoa Puffs cereal,cocoa puffs
cocoa puffs cereal,Cocoa Puffs Cereal,Cocoa Puffs
vanilla coconut milk,Coconut Milk Vanilla,none
coffee coffee,Coffee,Coffee time
maxwell house coffee,Coffee,Maxwell House
small coffee,Coffee - Small ,Sheetz
coffee cream,Coffee Cream,Giant Eagle
sugar coffee,Coffee with Sugar Small,dunkin donuts
hazelnut coffee mate creamer,Coffee-mate Coffee Creamer Hazelnut,Coffee-Mate
green mountain sumatra coffee,Coffee Ground Sumatra Manheling Dark Roast,market side
hazelnut coffee,Coffee Hazelnut,Boyer's Coffee
coke,Coke - 1 fl oz, USDA
medium coke,Coke - Medium,Church's Chicken
cole slaw,cole slaw,fresh express
alphabet chicken,Condensed Soup Chicken Alphabet,Safeway
alphabet soup,Condensed soup Chicken alphabet,SAFEWAY
condensed cream broccoli soup,Condensed Soup Cream of Broccoli, Campbell's
confectioners sugar,confectioners sugar,Domino
brownies,Cookies brownies commercially prepared - 1 oz,USDA
cool whip,Cool Whip Light,cool whip
grill corn,Corn,Ryans Grill Buffet Bakery
corn,Corn - 1 cup,USDA
sonic corn dog,Corn Dog,Sonic
kelloggs cornflakes,Corn Flakes,Kellogg's
kelloggs corn flakes,Corn Flakes ,Kellogg's
lobster on the corn,Corn on the Cobb & Gold Potatoes,Red Lobster
frozen corn,Corn Frozen,Americas Choice
on the cob corn,Corn on the Cob,Hannaford
canned corn,Corn sweet white canned cream style regular pack - 1 cup,SUDA
corned beef,Corned Beef - 1 oz,usda
lurra lynn cottage cheese,Cottage Cheese,Stewart's
country style pork rib,country style pork rib,Aldi
stick crab rangoon fried sesame buffet,Crab Rangoon,Goodwives
stick crab rangoon fried sesame dinner,Crab Rangoon,Goodwives
crackers,Crackers standard snack - 5 crackers,USDA
wheat crackers,Crackers wheat,wegmans
crazy bread,Crazy Bread,Little Caesars Pizza
philadelphia cream honey pecan cheese,Cream Cheese Spread Honey Pecan,Philadelphia
philadelphia cream honey pecan spread,Cream Cheese Spread Honey Pecan,philadelphia
jiff peanut crunchy and the butter,Creamy Peanut Butter Soread,Jiff
jiff peanut butter,Creamy Peanuty Butter Soread,JIFF
freshly baked strawberry cream cheese croissant,Croissant - Strawberry Cream Cheese,Winchell's Donut House
sausage egg and cheese croissants,Croissants Sausage Egg & Cheese,Bob Evans Grocery
cesar salad croutons,Croutons,Souper Salad
clif chocolate peanut crunch bar,Crunch Granola Bar Chocolate Peanut Butter,Clif
taco bell crunchy tacos,Crunchy Taco,Taco Bell
cube steak,Cubed Steak,USDA Choice
cucumber salad,Cucumber Salad,Agrofruct
beef curry,Curry,Uncle Ben's
curry rice,curry rice,mtr
del monte fresh cut green beans,Cut Green Beans,Del Monte
libbys green beans,Cut Green Beans,Libbys
deep dish dominos pizza,Deep Dish Pizza Deep Dish Pepperoni Pizza,Digiorno
coca diet cola,Diet Cola,Coca Cola
dill pickle,Dill Pickle,Van holtens
dill pickle spear,Dill Pickle Spear,Eatn Park
dinner roll,dinner roll,BERTUCCI'S
grilled halibut baked pasta,Dinner-Halibut grilled,Bahama Breeze
donuts,donuts,Fred Meyer
doritos,Doritos Tortilla Chips Nacho Cheese,doritos
nacho cheese doritos,Doritos Tortilla Chips Nacho Cheese,Doritos
double cheeseburger,Double Cheeseburger,Burger King
marzetti pomegranate tomatoes,Dressing & Vinaigrette Pomegranate,marzetti
marzetti pomegranate vinaigrette,Dressing & Vinaigrette Pomegranate,Marzetti
balsamic dressing vinaigrette,Dressing Balsamic Vinaigrette,Kraft
cattle company strip iced blue cheese sourdough dressing,Dressing Bleu Cheese,Kraft
catalina dressing,Dressing Catalina,Kraft
cesar salad dressing,Dressing Creamy Cesar,Edelweiss
fat free french dressing,Dressing French Fat Free,Wegmans
poppy seed dressing,Dressing Poppy Seed,ott's
hidden valley ranch dressing,Dressing Ranch,hidden valley
dunkin doughnuts coffee,Dunkin Dark Ground Coffee,Dunkin Donuts
boiled edamame,Edamame Boiled Soybean in Pod,Unknown
costco frozen edamame,Edamame Frozen,Birdseye
cheese egg,Egg & Cheese,Mr. Sub
egg and cheese,egg and cheese,tacotime
microwave egg drop soup,Egg Drop Soup,Rice King
noodles,Egg Noodles - 1 cup,USDA
egg rolls,Egg rolls,confucius
starbucks egg sandwich,Egg Salad Sandwich, Starbucks
fried egg,"Egg whole cooked fried	",USDA
fried eggs,Egg whole cooked fried ,USDA
hard boiled eggs,Egg whole cooked hard - 1 large, USDA
hard boiled egg,Egg whole cooked hard - 1 tbsp,USDA
omelet,Egg whole cooked omelet - 1 large,USDA
thomas english muffin,English Muffin ,Thomas'
thomass english muffin,English Muffin - 1 muffin,USDA
thomass english almond muffin,English Muffins Maple Almond,Wolferman's
thomass english almond salad,English Muffins Maple Almond,wolferman's
hot oatmeal english muffin,English Muffins Oatmeal and honey,Thomas'
franz english muffin,English Muffins Original,Franz
scrambled grits eggs,Express Breakfast: Scrambled Eggs Sausage Grits Toast 374,Krystal
farm fresh eggs,farm fresh eggs,Shady lane Farms
han and cheese,Fast foods ham and cheese sandwich - 1 sandwich,USDA
bean and vegetable soup,Fiesta Vegetable and Black Bean Soup,campbells
fish,Fish ,Jimboys Tacos
fry,Fish Fry Cajun,Fry Krisp
fish salad,Fish Salad Salmon,Lifecafe
fish sandwich,fish sandwich,B bops
tuna salad,Fish Tuna Salad - 1 cup,USDA
tuna fish,Fish tuna salad - 3 oz,USDA
pita bread,Flat Bread White,Pita
flour toritillas,flour toritillas,meijer
flour tortilla,Flour Tortilla - 1 tortilla,USDA
fountain coke,fountain coke,teds montana grill
jumbo fried shrimps,Four Jumbo Shrimp - Fried,timber lodge steakhouse
franks hot dog,Franks Fast Hot Dogs,Oscar Meyer
organic free range egg,Free Range Organic Eggs,Rabbit River Farms
french dressing,French Dressing - 1 tbps,USDA
mcdonalds fry,french fries,McDONALD'S
tomato regular size french fries,French Fries Regular,Wings To GO
french onion dip,french onion dip,Martin's
french salad dressing,french salad dressing,colway
green giant canned green beans,French Style Green Beans canned  ,Giant
french toast bacon,French Toast w/bacon,IHOP
nestle french vanilla creamer,French Vanilla Coffee Creamer,Nestle
large cube steak,fresh beef cube steak,Walmart
fresh berries,Fresh Berries,Yardhouse
fresh fruit,Fresh Fruit,Newk's Eatery
steamed vegetables,Fresh Steamed Vegetables ,Boston Market
baked pork fried chop,Fried Pork Chop,Fatz
baked pork fried potatoes,Fried Potatoes,Cavendish Famrs
fried potatoes,Fried Potatoes,Cavendish Farms
brown fried rice,fried rice,rice king
fried shrimp,fried shrimp,Claim Jumper
big fries,Fries,Chesters
fries,fries,chesters
waffle fries,Fries Waffle,Valu Time
fritos,Fritos,Glory Days Grill
fritos corn chips,Fritos Corn Chips The Original ,Fritos
egg white frittata,Frittata Egg White Broccoli & Cheddar,Cedar Lean
kellogs frosted flakes,Frosted Flakes,kellogg's
frosted mini wheats,Frosted Mini-Wheats Original,Mini-Wheats
chocolate frosting,Frosting Chocolate,Pillsbury
buttercream frosting,Frosting Creamy Buttercream,Food Club
frozen mixed fruit,Frozen Fruit Mixed Fruit,Healthy Pac
dices frozen pizza,Frozen Pizza Pepperoni,Tony's
best frozen pizza,Frozen Pizza Sausage,Tony's
frozen tilapia,Frozen Tilapia Fillet,Jewel
yoplait frozen blueberry smoothie,Frozen Yogurt Low Fat Greek Blueberry,Yoplait
fruit,Fruit, Carrows
for beakfast,Fruit Cup for breakfast,Eatn Park
loop fruit cereal,Fruit Loops Cereal,Fruit Loops
fresh fruits,Fruit s,WELCH'S
diet sunkist cherry mixed fruit cup,Fruit Snacks Mixed Fruit,Sunkist
fudge brownie ice cream,fudge brownie ,Baldwin
garlic chicken parmesan broccoli,Garlic Parmesean Chicken,Healthy Choic
garlic toast,garlic toast,eatn park
gatorade,Gatorade,Gatorade
general tsos chicken,General Tso's Chicken, Perdue
confectioners glaze,Glaze,Monini
butterflied breaded,Golden Butterflied Shrimp,Coco's Bakery
ore ida foster farms breaded chicken golden patty,Golden Patties,Ore-Ida
kashi granola bar,Granola Bar Honey almond flax,Kashi
light granola,Granola Light No Sugar,Klein's Naturals
grapefruit juice,Grapefruit Juice - 1 fruit yields,SUDA
chobani greek yogurt,Greek Yogurt, Chobani
fage clif yogurt,Greek Yogurt,Fage
oikos blueberry yogurt,Greek Yogurt Blueberry,Oikos
vanilla greek yogurt,Greek Yogurt Strawberry or Vanilla,Greek Yogurt
green apple,Green Apple Medium,Sonic
frozen bean,Green beans cut frozen,Starter Bros
green salad,Green goodness - Full salad,Salad Creations
green tabasco hot sauce,Green hot Pepper Sauce,Bruce's
green onions,Green Onions,Green Giant Fresh
green peppers,Green Pepper Raw - 1 cup sliced,USDA
green pepper,Green Pepper Raw - 1 tbsp,USDA
grill cheese sandwich,grill cheese sandwich,Daily Grill
grill steak salad,Grill steak salad,Glory Days Grill
grilled beef,Grilled Beef Patties,Hungry-Man
grill beef salad,grilled beef salad,Teds montanta Grill
grill chicken salad,Grilled Chicken Caesar Salad,teds montana Grill
grilled chicken salad,Grilled Chicken Salad,Cowboy Chicken
beef fajita tacos,Grilled Fajita Tacos - Beef,Casa Ole
grilled salmon,Grilled Salmon ,Gorton's
jennieo lean ground turkey,Ground Turkey lean,Perdue
ground turkey,Ground turkey raw - 1 lb,USDA
halal truck outside gyro,Gyro,Great Steak
ham and cheese omelette,Ham and Cheese Omelette,Eat'n Park
sandwich ham salad,Ham Salad Sandwich,HoneyBaked Ham
wendys hamburger,Hamburger,Wendy's
sarah lee buns,Hamburger Buns White,Sara Lee
hamburger patty,Hamburger Patty,Well Informed
hamburger soup,Hamburger Stroganoff Soup,Hoss's Family Steak And Sea House
hashbrowns,Hashbrowns,Shoprite
folger coffee,Hazelnut Coffee,Folgers
folgers hot coffee,Hazelnut coffee,folgers
wegmans hazelnut coffee,Hazelnut Coffee ,Nescafe
green mountain hazelnut coffee,Hazelnut Coffee K-Cup,Green Mountain
hazelnut creamer,Hazelnut Creamer,Jimmy's Egg
nutella,Hazelnut Spread with Cocoa,Nutella
celestial seasonings sleepy time tea,Herbal Tea Sleepytime,celestial seasoning
breakfast one thomas high fiber english muffin,High Fiber English Muffin,Thomas'
homemade salsa,homemade salsa,el torito
honey bunches oats,Honey Bunches of Oats ,Post
little debbie honey buns,Honey Buns,Little Debbie
medium hot chocolate,Hot Chocolate Medium, Dunkin' Donuts
swiss miss hot chocolate,Hot Cocoa Milk Chocolate,Swiss Miss
hot coffee,hot coffee,Round Table Pizza
ballpark hot dog,Hot Dog ,Kayem
hot peppers,hot peppers,potbelly
hot tea,hot tea ,skyline chili
hot avocado,Hot Turkey and Avocado ,The Chop House
hush puppies,Hush puppies prepared from recipe - 1 hush puppy,USDA
bunny tracks ice cream,Ice cream Bunny Tracks,Blue Bunny
chocolate chip ice cream,Ice Cream Chocolate Chip,Breyer's
rocky road ice cream cone,Ice Cream Rocky Road,Umpqua
ice tea,ice tea,Lipton
iceberg lunch wedge texas land,Iceberg Lettuce Wedge,Gordon Biersch Brewery
iced caramel macchiato coffee,Iced Caramel Macchiato Grande,Tully's Coffee
starbucks iced coffee,Iced Coffee,Starbucks Coffee
arizona iced tea,Iced Tea,Arizona
decaf instant coffee crystals,Instant Coffee Crystals ,Folgers
kerrygold butter,Irish Butter,Kerrygold
isagenix isalean creamy dutch chocolate,IsaLean Shake Creamy Dutch Chocolate,Isagenix
isagenix isalean creamy dutch chocolate shake,IsaLean Shake Creamy Dutch Chocolate,Isagenix
isagenix isalean creamy dutch shake,IsaLean Shake Creamy Dutch Chocolate,isagenix
italian meatballs,italian meatballs,our finest
home sausage,Italian Sausage mild,Southern Home
italian seasoning,italian seasoning,Badia
jalapeos,Jalapenos,Leafline Salad Co.
grape jam,Jam Grape,Spartan
jelly,Jelly,Buffets
dunkin donuts jelly doughnuts,jelly donut,Dunkin Donuts
capari sun juice pouch,juice apple,Capri Sun
grape juice,Juice Grape,Juicy Juice
little caesars plain cheese pizza,"Just Cheese - 14"" Round Hot-N-Ready Pizza",Little Caesars
toaster strudels,KELLOGG'S POP - 1 pastry,USDA
heinz ketchup,Ketchup,Heinz
kraft macaroni and cheese,Kids Kraft Macaroni and Cheese,Applebee's
kiwis,"Kiwi - 1 fruit (2"" dia)",USDA
kraft marconi,Kraft Dinner 3 Cheese,Kraft
kraft macaroni,Kraft Macaroni and Cheese,Applebee's
large eggs,Large Eggs,Edwards Eggs
lasagna,Lasagna, Banquet
dinner homemade cheese lasagna,Lasagna Dinner,Guaranteed Value
stouffers frozen lasagna,Lasagna Five Cheese,Stouffers
lemon,"Lemon - 1 fruit (2-3/8"" dia)",USDA
lemon muffin,Lemon Poppy Muffin,first watch
lemon sauce,Lemon Sauce,KA-ME
lemon mustard sauce,Lemon Mustard & Dill Sauce,Dulcet
lengua had,Lengua ,King Taco
lengua burrito,Lengua Burritos,King Taco
life cereal,Life Cereal - 0.5 cup,usda
garden salad,Little Garden Salad,Little Salad Bar
low fat cereal,Low Fat Granola Cereal Original,Kellogg's
low fat strawberry yogurt,lowfat yogurt strawberry,Yoplait
ham spam,Luncheon Meat,SPAM
mac,Mac and Cheese,Taco Mac
macarroni cheese,Macaroni,Catelli Brothers
lean cuisine macaroni and cheese dinner,Macaroni and Cheese,Lean Cuisine
mahi,Mahi Mahi,Trader Joes
mandarin oranges,mandarin oranges,Empress
quaker maple brown sugar oatmeal,Maple & Brown Sugar Oatmeal,Quaker
maple bacon,Maple Bacon,Oscar Mayer
prego marinara sauce,Marinara Italian Sauce,prego
bonne maman orange marmalade,Marmalade Orange,Bonne maman
homemade orange marmalade,Marmalade Orange,Wegmans
mashed sweet potatos,Mashed Sweet Potatoes - 1 cup,Nutritionix
mayonaise,Mayonnaise,Heinz
tray meat and cheese,Meat and Cheese Party Tray Swiss Cheese,Wilmot Farms
balls meat,Meat Balls ,Casa
meatball and pasta,Meatball Pasta,Brixx Wood Fired Pizza
meatball sandwich,Meatball Sandwich,Johnny Carino's
barbecue meatballs,meatballs,sandella's
homemade dinner,Meatloaf Dinner Homemade ,Perkins Restaurant And Bakery
organic milk,Milk,Clover Organic Farms
canned milk,Milk canned condensed sweetened - 1 cup,USDA
low fat milk,Milk Low Fat,Kroger
horizon organic milk,Milk Lowfat Organiz,Horizon
borden milk,Milk Strawberry,Borden
deans milk,Milk Whole,Deans
mini wheats,Mini-Wheats,Kelloggs
minute maid orange toast,Minute Maid Orange Juice,Del Taco
mixed berries,Mixed Berries,Market Pantry
mixed fruits,Mixed Fruits,Polar
frozen mixed spinach,Mixed Greens and spinach,Wild Harvest
mixed vegetables,Mixed Vegetables,Libbie's Vegetables
frozen vegetables,mixed vegetables,Libbies frozen vegetables
frozen mixed up vegetables,Mixed Vegetables Frozen,VIP
mountain dew,Mountain Dew,Mountain Dew
mozzarella tomatoes,Mozzarella With Bruschetta Tomatoes,Elephant Bar
cranberry muffins,Muffins Cranberry,Natural Ovens Bakery
blue berry muffin,Muffins Tasty Minis Blue Berry 5 Ct,TastyKake
frenchs mustard,Mustard Spicy Brown,Frenchs
spicy brown mustard,Mustard Spicy Brown,Safeway
non fat milk,Non-fat Milk,Shenandoah's Pride
nonfat yogurt strawberry yogurt,Nonfat Yogurt Strawberry,La Yogurt
nutrigrain bar,Nutrigrain Soft Baked Breakfast Bar Blueberry, Kellogg's
braggs nutritional tbsp of yeast seasoning,Nutritional yeast seasoning,Bragg
almond nuts,Nuts Almond - 1 Almond,USDA
fresh oatmeal,Oatmeal,Fresh and Co
quaker oats oatmeal,Oatmeal,Quaker Oats
oatmeal bread,Oatmeal Bread,Sara Lee
quaker old fashioned oatmeal,Old Fashioned Oatmeal,Quaker Oats
hellmans olive oil mayonnaise celery,Olive Oil Mayonnaise,Hellmann's
hellmans olive oil mayonnaise almonds,Olive Oil Mayonnaise,Hellmanns
hellmans olive oil mayonnaise celery onion,Olive Oil Mayonnaise,Kraft
black olives,olives black,gefen
green olives,Olives pickled canned or bottled green ,USDA
chicken teriyaki inch supper,One Skillet Supper One-Skillet Supper Teriyaki Stir-Fry & Rice,Lipton
onion bagel,Onion Bagel,Noah's Bagels
onion rings,Onion rings ,Kroger
small onion rings,Onion Rings - small,Burger King
onion soup,Onion Soup,Osem
steamed onions,Onions,Barberitos
kroger brand orange juice,orange juice,kroger
minute maid orange juice,Orange Juice ,Minute Maid
oranje juice,Orange juice drink - 1 fl oz,USDA
medium orange juice,Orange juice medium pulp,Simply Orange
orange slices,orange slices,safeway
organic red cherry kale,Organic Kale,Nature's Promise
garofalo organic spaghetti,Organic Pasta,Garofalo
annies spinach pizza,Organic Spinach & Mushroom Pizza,Annie's Homegrown
watts brothers farms organic sweet corn,Organic Super Sweet Corn,Watts Brothers Farms
burger king chicken sandwich,Original Chicken Sandwich ,Burger King
aunt jemima syrup,Original Syrup,Aunt Jemima
yoplait mixed berry yogurt,Original Yogurt Mixed Berry,Yoplait
pork mashed potatoes,Oven Favorites Breaded Pork Chops & Mashed Potatoes,Pork Helper
pork mashed chops,Oven Favorites Breaded Pork Chops & Mashed Potatoes,Pork Helper
banana pancake,Pancakes - Banana,Eggspectation
buttermilk pancake,Pancakes buttermilk prepared from recipe - 1 oz,USDA
paprika black pepper,Paprika,Watkins
parmesian cheese,Parmesan ,Salata
parmesan cheese,Parmesan Cheese ,The Cheese Shop
